state,diabetes,income,food,health,,,,,,,,,,,,
AL,10.1,"59,674",12.4,8.8,,,,,,,,,,,,
AK,6,"88,121",9.5,11,,,,,,,,,,,,
AR,8.4,"74,568",16.6,8.4,,,,,,,,,,,,
AZ,9.1,"55,432",10.2,10.3,,,,,,,,,,,,
CA,8.3,"91,551",10.3,6.3,,,,,,,,,,,,
CO,5.7,"89,302",9.6,7.1,,,,,,,,,,,,
CT,6.5,"88,429",10,5.2,,,,,,,,,,,,
DC,8.3,"82,174",1.5,2.9,,,,,,,,,,,,
DE,8.1,"101,027",14,5.1,,,,,,,,,,,,
FL,9,"69,303",1.3,11.2,,,,,,,,,,,,
GA,9.2,"72,837",9,11.6,,,,,,,,,,,,
HI,7.6,"92,458",10.5,3.5,,,,,,,,,,,,
ID,7.7,"72,785",10.6,8.2,,,,,,,,,,,,
IL,8.6,"76,708",10.7,6.6,,,,,,,,,,,,
IN,8.4,"66,785",8.9,7,,,,,,,,,,,,
IA,6.9,"69,588",9.6,4.5,,,,,,,,,,,,
KS,7.3,"68,925",13.1,8.6,,,,,,,,,,,,
KY,9.8,"59,341",15.2,5.3,,,,,,,,,,,,
LA,10,"55,416",10.1,6.9,,,,,,,,,,,,
ME,7.6,"69,543",9.5,5.2,,,,,,,,,,,,
MD,7.7,"94,991",8.5,6.1,,,,,,,,,,,,
MA,6.4,"94,488",1.9,2.4,,,,,,,,,,,,
MI,8.7,"66,986",7,4.5,,,,,,,,,,,,
MN,5.9,"82,338",15.3,4.4,,,,,,,,,,,,
MS,11.4,"52,719",12.2,10.4,,,,,,,,,,,,
MO,7.7,"64,811",10.1,8.6,,,,,,,,,,,,
MT,6.5,"67,631",12.1,8.3,,,,,,,,,,,,
NE,7.3,"69,597",1.7,6.5,,,,,,,,,,,,
NV,7.5,"72,333",6.2,9.5,,,,,,,,,,,,
NH,6.5,"89,992",8.8,4.9,,,,,,,,,,,,
NJ,7.9,"96,346",11.2,6.8,,,,,,,,,,,,
NM,8.4,"59,726",1.3,8.2,,,,,,,,,,,,
NY,8.5,"79,557",10.7,4.9,,,,,,,,,,,,
NC,9.3,"67,481",7,8.9,,,,,,,,,,,,
ND,6.5,"71,970",1.5,6.4,,,,,,,,,,,,
OH,8.3,"65,720",14.3,5.8,,,,,,,,,,,,
OK,9.7,"59,673",1.2,11.7,,,,,,,,,,,,
OR,7.1,"75,657",10.1,6.3,,,,,,,,,,,,
PA,8.1,"71,798",8.6,5.3,,,,,,,,,,,,
RI,7,"81,854",15.5,4.3,,,,,,,,,,,,
SC,10,"64,115",10.7,9.1,,,,,,,,,,,,
SD,7,"69,728",8,8.1,,,,,,,,,,,,
TN,10.5,"65,254",9.3,8.9,,,,,,,,,,,,
TX,10.1,"72,284",8.3,16.6,,,,,,,,,,,,
UT,6.3,"89,168",14.2,8.3,,,,,,,,,,,,
VT,6.1,"73,991",9.3,3.9,,,,,,,,,,,,
VA,7.7,"85,873",8,6.5,,,,,,,,,,,,
WA,7.4,"91,306",8.3,6.1,,,,,,,,,,,,
WV,11.1,"54,329",9.6,5.9,,,,,,,,,,,,
WI,6.3,"70,996",14.2,5.2,,,,,,,,,,,,
WY,7.3,"70,042",11.4,11.5,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
